0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
Possible duplications:,institutionCode,collectionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,footprintWKT,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
96084,Yale Peabody Museum of Natural History,YU,urn:lsid:biocol.org:col:14791,PreservedSpecimen,urn:uuid:7195bbe9-44bf-4a5d-84d7-7823da42b066,YU.063487,,Chlorobionta,Charophyta,Equisetopsida,Asterales,Asteraceae,Rudbeckia laciniata,L.,Rudbeckia,laciniata,,,,,,,,,,Hugh S. Clark,,1909-00-00,1909,0,0,,,,,,,,,,,,,,,,,,,USA,Connecticut,Litchfield County,Woodbury,,,41.5614,-73.2072,WGS84,7034,,,,,,,,,,,,,,,,,2011-12-23 00:00:00,http://creativecommons.org/publicdomain/zero/1.0/,Yale Peabody Museum of Natural History,"Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj",urn:uuid:0869ea4e-b397-4706-a63f-61afe1cea166,http://portal.neherbaria.org/portal/collections/individual/index.php?occid=96084
119288,Yale Peabody Museum of Natural History,CBS,http://grbio.org/cool/x0m9-a3bs,PreservedSpecimen,urn:uuid:67971d85-63ab-43d4-b6f1-f0aef93eac02,CBS.037543,,Chlorobionta,Charophyta,Equisetopsida,Asterales,Asteraceae,Rudbeckia laciniata,L.,Rudbeckia,laciniata,,,,,,,,,,Hugh S. Clark,,1909-00-00,1909,0,0,,,,,,,,,,,,,,,,,,,USA,Connecticut,Litchfield County,Woodbury,,,41.5614,-73.2072,WGS84,7034,,,,,,,,,,,,,,,,,2011-12-22 00:00:00,http://creativecommons.org/publicdomain/zero/1.0/,Yale Peabody Museum of Natural History,"Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj",urn:uuid:3c9b7a6a-b860-4e5e-92a7-40aa77294c93,http://portal.neherbaria.org/portal/collections/individual/index.php?occid=119288
Possible duplications:,institutionCode,collectionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,footprintWKT,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
95197,Yale Peabody Museum of Natural History,YU,urn:lsid:biocol.org:col:14791,PreservedSpecimen,urn:uuid:fc6e82be-9efc-48e4-a170-eb157b0a6b0c,YU.062216,,Chlorobionta,Charophyta,Equisetopsida,Asterales,Asteraceae,Hieracium marianum,Willd.,Hieracium,marianum,,,,,,,,,,Charles Alfred Weatherby,2804,1909-07-04,1909,7,4,185,,,,,,,,,,,,,,,,,,USA,Connecticut,New Haven County,Orange,,,41.2826,-73.0272,WGS84,5205,,,,,,,,,,,,,,,,,2011-12-23 00:00:00,http://creativecommons.org/publicdomain/zero/1.0/,Yale Peabody Museum of Natural History,"Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj",urn:uuid:b60b4269-864b-4aa4-a439-557c554118cf,http://portal.neherbaria.org/portal/collections/individual/index.php?occid=95197
117451,Yale Peabody Museum of Natural History,CBS,http://grbio.org/cool/x0m9-a3bs,PreservedSpecimen,urn:uuid:f025708e-ec65-45ab-9719-80dd294cb09d,CBS.035209,,Chlorobionta,Charophyta,Equisetopsida,Asterales,Asteraceae,Hieracium marianum,Willd.,Hieracium,marianum,,,,,,,,,,Charles Alfred Weatherby,2804,1909-07-04,1909,7,4,185,,,,,,,,,,,,,,,,,,USA,Connecticut,New Haven County,Orange,,,41.2826,-73.0272,WGS84,5205,,,,,,,,,,,,,,,,,2011-12-22 00:00:00,http://creativecommons.org/publicdomain/zero/1.0/,Yale Peabody Museum of Natural History,"Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj",urn:uuid:a250d53d-6e02-4ba5-8d5a-4cbf2db8f371,http://portal.neherbaria.org/portal/collections/individual/index.php?occid=117451
Possible duplications:,institutionCode,collectionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,footprintWKT,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
95295,Yale Peabody Museum of Natural History,YU,urn:lsid:biocol.org:col:14791,PreservedSpecimen,urn:uuid:09b00740-ce74-4426-956c-019675e6c6de,YU.062334,,Chlorobionta,Charophyta,Equisetopsida,Asterales,Asteraceae,Lactuca scariola,L.,Lactuca,scariola,,,,,,,,,,Charles Humphrey Bissell,,1909-09-15,1909,9,15,258,,,,,,,,,,,,,,,,,,USA,Connecticut,Windham County,Windham,,,41.7098,-72.1668,WGS84,7322,,,,,,,,,,,,,,,,,2011-12-23 00:00:00,http://creativecommons.org/publicdomain/zero/1.0/,Yale Peabody Museum of Natural History,"Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj",urn:uuid:35e335b3-603f-4a1b-8f09-775a366bd9e2,http://portal.neherbaria.org/portal/collections/individual/index.php?occid=95295
117667,Yale Peabody Museum of Natural History,CBS,http://grbio.org/cool/x0m9-a3bs,PreservedSpecimen,urn:uuid:1d6209f4-42bd-42ff-8b23-87d9c147d9dc,CBS.035469,,Chlorobionta,Charophyta,Equisetopsida,Asterales,Asteraceae,Lactuca scariola,L.,Lactuca,scariola,,,,,,,,,,Charles Humphrey Bissell,,1909-09-15,1909,9,15,258,,,,,,,,,,,,,,,,,,USA,Connecticut,Windham County,Windham,,,41.7098,-72.1668,WGS84,7322,,,,,,,,,,,,,,,,,2011-12-22 00:00:00,http://creativecommons.org/publicdomain/zero/1.0/,Yale Peabody Museum of Natural History,"Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj",urn:uuid:9bfc044d-7c20-4655-9586-0703d930426b,http://portal.neherbaria.org/portal/collections/individual/index.php?occid=117667
Possible duplications:,institutionCode,collectionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,footprintWKT,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
95512,Yale Peabody Museum of Natural History,YU,urn:lsid:biocol.org:col:14791,PreservedSpecimen,urn:uuid:db867bc4-e986-4767-8fa3-40f24f13f886,YU.062611,,Chlorobionta,Charophyta,Equisetopsida,Asterales,Asteraceae,Antennaria plantaginifolia,(L.) Richardson,Antennaria,plantaginifolia,,,,,,,,,,Charles Humphrey Bissell,,1909-05-04,1909,5,4,124,,,,,,,,,,,,,,,,,,USA,Connecticut,Hartford County,Southington,,,41.6049,-72.88,WGS84,7725,,,,,,,,,,,,,,,,,2011-04-10 00:00:00,http://creativecommons.org/publicdomain/zero/1.0/,Yale Peabody Museum of Natural History,"Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj",urn:uuid:836efb95-dfbb-41f0-91a8-b97ff0681289,http://portal.neherbaria.org/portal/collections/individual/index.php?occid=95512
118092,Yale Peabody Museum of Natural History,CBS,http://grbio.org/cool/x0m9-a3bs,PreservedSpecimen,urn:uuid:3fc14cf2-02e4-4a47-be9f-47395a811209,CBS.035970,,Chlorobionta,Charophyta,Equisetopsida,Asterales,Asteraceae,Antennaria plantaginifolia,(L.) Richardson,Antennaria,plantaginifolia,,,,,,,,,,Charles Humphrey Bissell,,1909-05-04,1909,5,4,124,,,,,,,,,,,,,,,,,,USA,Connecticut,Hartford County,Southington,,,41.6049,-72.88,WGS84,7725,,,,,,,,,,,,,,,,,2011-04-10 00:00:00,http://creativecommons.org/publicdomain/zero/1.0/,Yale Peabody Museum of Natural History,"Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj",urn:uuid:0347e0ca-d1ff-45b2-9154-6dd6b20dc8c0,http://portal.neherbaria.org/portal/collections/individual/index.php?occid=118092
118093,Yale Peabody Museum of Natural History,CBS,http://grbio.org/cool/x0m9-a3bs,PreservedSpecimen,urn:uuid:9b76ca85-80e6-4450-937e-2cba1ca25269,CBS.035972,,Chlorobionta,Charophyta,Equisetopsida,Asterales,Asteraceae,Antennaria plantaginifolia,(L.) Richardson,Antennaria,plantaginifolia,,,,,,,,,,Charles Humphrey Bissell,,1909-05-04,1909,5,4,124,,,,,,,,,,,,,,,,,,USA,Connecticut,Hartford County,Southington,,,41.6049,-72.88,WGS84,7725,,,,,,,,,,,,,,,,,2011-04-10 00:00:00,http://creativecommons.org/publicdomain/zero/1.0/,Yale Peabody Museum of Natural History,"Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj",urn:uuid:8c245c0e-b940-495f-af14-c8522d6c2eae,http://portal.neherbaria.org/portal/collections/individual/index.php?occid=118093
Possible duplications:,institutionCode,collectionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,footprintWKT,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
557052,Harvard University,GH,eb3178a3-865c-4150-ae34-837bdec102ae,PreservedSpecimen,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/da1ada4c-f28a-4a36-94a0-8642ba7d02d7,barcode-00004118,,Chlorobionta,Charophyta,Equisetopsida,Asterales,Asteraceae,Bidens colpophila,Fernald & H. St. John,Bidens,colpophila,,,,,,,,,0,M. L. Fernald,2249,1909-08-23,1909,8,23,235,,,,,,,,,,NotDetermined,,,,,,,,United States of America,Maine,Sagadahoc County,Phippsburg,Winnegance Creek,,,,,,,,,,,,,,,,,,,,,,2010-08-16 16:11:43,http://creativecommons.org/licenses/by-nc-sa/3.0/,© 2012 - 2014 President and Fellows of Harvard College,http://kiki.huh.harvard.edu/databases/addenda.html#policy,urn:uuid:309a0b26-ce1b-4e1a-b2b4-e92f055270fb,http://portal.neherbaria.org/portal/collections/individual/index.php?occid=557052
557275,Harvard University,NEBC,782226d7-6541-4570-8ff3-94d78e43e8f1,PreservedSpecimen,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/648d5bfb-e22b-4800-aaa5-a8f9048e0a02,barcode-00018709,,Chlorobionta,Charophyta,Equisetopsida,Asterales,Asteraceae,Bidens colpophila,Fernald & H. St. John,Bidens,colpophila,,,,,,,,,0,M. L. Fernald,2249,1909-08-23,1909,8,23,235,,,,,,,,,,Flower,,,,,,,,United States of America,Maine,Sagadahoc County,Phippsburg,"Salt Marsh, Winnegance Creek",,,,,,,,,,,,,,,,,,,,,,2010-08-16 16:11:12,http://creativecommons.org/licenses/by-nc-sa/3.0/,© 2012 - 2014 New England Botanical Club,http://kiki.huh.harvard.edu/databases/addenda.html#policy,urn:uuid:d8b4617f-39af-4f6a-bf72-272cb6228907,http://portal.neherbaria.org/portal/collections/individual/index.php?occid=557275
Possible duplications:,institutionCode,collectionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,footprintWKT,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
557275,Harvard University,NEBC,782226d7-6541-4570-8ff3-94d78e43e8f1,PreservedSpecimen,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/648d5bfb-e22b-4800-aaa5-a8f9048e0a02,barcode-00018709,,Chlorobionta,Charophyta,Equisetopsida,Asterales,Asteraceae,Bidens colpophila,Fernald & H. St. John,Bidens,colpophila,,,,,,,,,0,M. L. Fernald,2249,1909-08-23,1909,8,23,235,,,,,,,,,,Flower,,,,,,,,United States of America,Maine,Sagadahoc County,Phippsburg,"Salt Marsh, Winnegance Creek",,,,,,,,,,,,,,,,,,,,,,2010-08-16 16:11:12,http://creativecommons.org/licenses/by-nc-sa/3.0/,© 2012 - 2014 New England Botanical Club,http://kiki.huh.harvard.edu/databases/addenda.html#policy,urn:uuid:d8b4617f-39af-4f6a-bf72-272cb6228907,http://portal.neherbaria.org/portal/collections/individual/index.php?occid=557275
